doctor_id,name,medical_field,contact_number,street_address,locality,city,state,hospital_id,salary
1,Ricki Coils,Gastroenterologist,8505894846,0 Morningstar Crossing,Bawana,Pensacola,Florida,18,100000
2,Norman Bailes,Cardiologist,4252918612,6 Declaration Crossing,Pitam Pura,Everett,Washington,13,600000
3,Merla Altham,Anesthesiologist,5187692274,5 Summerview Way,Kohat Enclave,Albany,New York,13,100000
4,Chauncey Tulleth,Psychiatrist,2064138941,01730 Waywood Place,Rithala,Tacoma,Washington,19,100000
5,Missy Thoumas,Pulmonologist,7133546123,46865 La Follette Parkway,Bawana,Spring,Texas,17,800000
6,Corbett Trudgian,Podiatrist,2144375707,0 Bunting Plaza,Dhaka,Dallas,Texas,20,900000
7,Illa Tutchings,Radiologist,4107488634,11 Tomscot Street,Karala,Ridgely,Maryland,6,100000
8,Page Spurdens,Urologist,2601765751,46594 Anderson Road,Keshav Puram,Fort Wayne,Indiana,12,1000000
9,Kristin Siddele,Anesthesiologist,2022633259,63472 Mesta Lane,Narela,Washington,District of Columbia,10,800000
10,Maryjo Greenaway,General Practitioner,7047015829,66857 Becker Point,Keshav Puram,Charlotte,North Carolina,16,100000
11,Emery Aronovich,Oncologist,4155600241,84224 Hooker Terrace,Narela,San Francisco,California,3,800000
12,Lynde A'field,Rheumatologist,2608918826,546 Sheridan Crossing,Shalimar Bagh,Fort Wayne,Indiana,19,800000
13,Celestyn Kits,Gynecologist,2286206158,907 Sunbrook Junction,Ashok Vihar,Biloxi,Mississippi,14,200000
14,Willa Charlewood,Surgeon,8044313286,2433 Warbler Pass,Karala,Richmond,Virginia,15,700000
15,Charmaine Ludvigsen,Pulmonologist,8047068701,6052 Spenser Road,Kohat Enclave,Richmond,Virginia,4,900000
16,Becky Leirmonth,Orthopedist,4082642519,6 Emmet Street,Narela,San Jose,California,11,100000
17,Bird Wadge,Rheumatologist,4045287622,73 Boyd Hill,Adarsh Nagar,Atlanta,Georgia,6,1000000
18,Christophe Gallimore,Nephrologist,8132731806,17 4th Park,Azadpur,Tampa,Florida,9,900000
19,Brandon Cops,Ophthalmologist,2024796037,349 Cherokee Center,Jahangirpuri,Washington,District of Columbia,18,700000
20,Phelia Bramo,Pediatrician,2022288671,52 Dorton Drive,Pitam Pura,Washington,District of Columbia,13,1000000
21,Lorin Farrans,Orthopedist,2814014204,00 Hudson Avenue,Rohini Sub City,Houston,Texas,17,100000
22,Willetta Sobieski,Radiologist,2401902565,885 Cordelia Park,Rani Bagh,Rockville,Maryland,14,400000
23,Benita Broinlich,Nephrologist,6467022928,150 Kim Street,Ashok Vihar,New York City,New York,13,800000
24,Burch Hallihan,Nephrologist,5023803836,1697 Elka Court,Rithala,Migrate,Kentucky,12,1000000
25,Reina Kettoe,Podiatrist,5016477984,44544 David Terrace,Kingsway Camp,Little Rock,Arkansas,15,900000
26,Carmelia Caldecutt,Pulmonologist,2132855442,82 Eggendart Alley,Ashok Vihar,Los Angeles,California,18,800000
27,Dyna Thirlwall,Allergist,9156861659,6 Vermont Avenue,Begum Pur,El Paso,Texas,17,200000
28,Huntley Pepye,Radiologist,2259805231,03 Basil Plaza,Narela,Baton Rouge,Louisiana,3,1000000
29,Tabor Salmons,Urologist,9074708624,7049 Mariners Cove Center,Dhaka,Juneau,Alaska,1,700000
30,Freddie Born,Rheumatologist,9513832508,30 Forster Alley,Pitam Pura,Riverside,California,6,500000
31,Jerrold Poyntz,Allergist,8134008699,57222 Northwestern Park,Rani Bagh,Tampa,Florida,3,700000
32,Davey Savege,Orthopedist,2176667226,56620 Lillian Avenue,Jahangirpuri,Springfield,Illinois,7,900000
33,Indira Voaden,Orthopedist,7199066096,60666 Barby Lane,Narela,Colorado Springs,Colorado,11,500000
34,Minerva Gubbin,Neurologist,2153211564,0883 Algoma Point,Jahangirpuri,Philadelphia,Pennsylvania,3,500000
35,Marsha Fritschmann,Pediatrician,9201554778,7 Havey Pass,Jahangirpuri,Green Bay,Wisconsin,7,100000
36,Germana Vittery,Psychiatrist,7025867672,29 High Crossing Crossing,Pitam Pura,Las Vegas,Nevada,14,900000
37,Bev Denyer,Endocrinologist,2034636382,3 Brentwood Street,Rani Bagh,Bridgeport,Connecticut,1,600000
38,Edgardo Buckner,Pediatrician,6178277097,7 Pearson Plaza,Rani Bagh,Boston,Massachusetts,17,500000
39,Donavon Bridgeland,Anesthesiologist,3152325283,8032 Stang Avenue,Rithala,Syracuse,New York,18,1000000
40,Morris Bines,Orthopedist,2177853131,62703 Manley Avenue,Kingsway Camp,Springfield,Illinois,8,800000
41,Osbert Simonitto,Urologist,7013758268,24 Superior Trail,Model Town,Fargo,North Dakota,17,900000
42,Harrie Mowett,Surgeon,7194030394,889 Magdeline Court,Adarsh Nagar,Colorado Springs,Colorado,3,700000
43,Larine Wigan,Allergist,5123018937,0 Weeping Birch Place,Narela,Austin,Texas,19,700000
44,Brander Cassy,Gastroenterologist,2159755466,63255 Coleman Point,Rohini Sub City,Philadelphia,Pennsylvania,19,900000
45,Hayden Sanson,Neurologist,4084303517,0 Petterle Way,Pitam Pura,San Jose,California,2,200000
46,Lelah Mascall,Cardiologist,8321735036,63 Trailsway Circle,Kingsway Camp,Houston,Texas,15,500000
47,Addi Dobbings,Dermatologist,6144562151,33 Lotheville Way,Model Town,Columbus,Ohio,17,800000
48,Junette Vasilyonok,Psychiatrist,5043399837,76757 Sloan Circle,Rohini Sub City,New Orleans,Louisiana,12,100000
